topology,camouflage,seed,n_nodes,n_edges,n_ring_edges,model,auc,ap,ring_recall
cycle,2.0,2,848,1884,48,gcn,0.6263888888888889,0.08941841063129569,0.0
cycle,2.0,2,848,1884,48,sage,0.7222222222222222,0.1105463263990909,0.0
cycle,2.0,2,848,1884,48,mlp,0.6243055555555556,0.09314156461997841,0.0
cycle,2.0,3,848,1884,48,gcn,0.661111111111111,0.08272404602717276,0.0
cycle,2.0,3,848,1884,48,sage,0.5840277777777778,0.07116843408417314,0.0
cycle,2.0,3,848,1884,48,mlp,0.6013888888888889,0.07428550051666792,0.0
cycle,2.0,4,848,1884,48,gcn,0.6583333333333333,0.08128260328639278,0.0
cycle,2.0,4,848,1884,48,sage,0.6006944444444444,0.07303071047681838,0.0
cycle,2.0,4,848,1884,48,mlp,0.5715277777777779,0.09421370180284326,0.0
bipartite,0.0,0,848,1740,96,gcn,0.9979166666666667,0.9722222222222223,0.8333333333333334
bipartite,0.0,0,848,1740,96,sage,0.9416666666666667,0.47032627865961196,0.6666666666666666
bipartite,0.0,0,848,1740,96,mlp,0.39305555555555555,0.05271099131082811,0.0
bipartite,0.0,1,848,1740,96,gcn,0.9979166666666667,0.9722222222222223,0.8333333333333334
bipartite,0.0,1,848,1740,96,sage,0.8486111111111111,0.25908246303864074,0.3333333333333333
bipartite,0.0,1,848,1740,96,mlp,0.5638888888888889,0.07784718936849522,0.0
bipartite,0.0,2,848,1740,96,gcn,0.9854166666666667,0.7537758537758539,0.8333333333333334
bipartite,0.0,2,848,1740,96,sage,0.3854166666666667,0.047234191852513235,0.0
bipartite,0.0,2,848,1740,96,mlp,0.5888888888888889,0.07346708204079447,0.0
bipartite,0.0,3,848,1740,96,gcn,0.9979166666666667,0.9674523007856342,1.0
bipartite,0.0,3,848,1740,96,sage,0.9805555555555556,0.6873663373663375,0.6666666666666666
bipartite,0.0,3,848,1740,96,mlp,0.4583333333333333,0.05134560369887423,0.0
bipartite,0.0,4,848,1740,96,gcn,0.9993055555555556,0.9888888888888889,1.0
bipartite,0.0,4,848,1740,96,sage,0.7215277777777778,0.1349462714288296,0.3333333333333333
bipartite,0.0,4,848,1740,96,mlp,0.5159722222222222,0.05985153822434146,0.0
bipartite,0.5,0,848,1836,96,gcn,0.9847222222222223,0.6602292768959435,0.5
bipartite,0.5,0,848,1836,96,sage,0.8541666666666667,0.2501653608303225,0.5
bipartite,0.5,0,848,1836,96,mlp,0.6159722222222223,0.08649384725387707,0.0
bipartite,0.5,1,848,1836,96,gcn,0.9458333333333333,0.4878787878787879,0.5
bipartite,0.5,1,848,1836,96,sage,0.4895833333333333,0.061578937616525484,0.0
bipartite,0.5,1,848,1836,96,mlp,0.35694444444444445,0.04458177086747268,0.0
bipartite,0.5,2,848,1836,96,gcn,0.9118055555555555,0.42555380002188514,0.5
bipartite,0.5,2,848,1836,96,sage,0.5881944444444445,0.12056417077167543,0.0
bipartite,0.5,2,848,1836,96,mlp,0.46736111111111106,0.05529787590862367,0.0
bipartite,0.5,3,848,1836,96,gcn,0.9583333333333334,0.6786169168522109,0.6666666666666666
bipartite,0.5,3,848,1836,96,sage,0.8784722222222223,0.42784439866531887,0.16666666666666666
bipartite,0.5,3,848,1836,96,mlp,0.5319444444444444,0.06935743468416322,0.0
bipartite,0.5,4,848,1836,96,gcn,0.95,0.5114528218694886,0.6666666666666666
bipartite,0.5,4,848,1836,96,sage,0.5423611111111111,0.061135210257177705,0.0
bipartite,0.5,4,848,1836,96,mlp,0.4868055555555556,0.053845530842173465,0.0
bipartite,1.0,0,848,1932,96,gcn,0.929861111111111,0.3739885157841814,0.16666666666666666
bipartite,1.0,0,848,1932,96,sage,0.8236111111111111,0.37883135383135386,0.0
bipartite,1.0,0,848,1932,96,mlp,0.6256944444444444,0.15348831551649442,0.0
bipartite,1.0,1,848,1932,96,gcn,0.6479166666666667,0.0876208616573642,0.0
bipartite,1.0,1,848,1932,96,sage,0.63125,0.09774636534041062,0.0
bipartite,1.0,1,848,1932,96,mlp,0.6097222222222223,0.07965278553231263,0.0
bipartite,1.0,2,848,1932,96,gcn,0.8895833333333334,0.4428499604970193,0.16666666666666666
bipartite,1.0,2,848,1932,96,sage,0.8868055555555555,0.32555209594649137,0.3333333333333333
bipartite,1.0,2,848,1932,96,mlp,0.6020833333333333,0.10906389110740256,0.0
bipartite,1.0,3,848,1932,96,gcn,0.8076388888888889,0.24294877634699658,0.5
bipartite,1.0,3,848,1932,96,sage,0.7055555555555556,0.08869559198927451,0.0
bipartite,1.0,3,848,1932,96,mlp,0.5097222222222222,0.05529850626198277,0.0
bipartite,1.0,4,848,1932,96,gcn,0.8916666666666666,0.2171447136359417,0.0
bipartite,1.0,4,848,1932,96,sage,0.675,0.09318825440308393,0.0
bipartite,1.0,4,848,1932,96,mlp,0.42847222222222225,0.050701741309266204,0.0
bipartite,2.0,0,848,2124,96,gcn,0.7180555555555556,0.1066617784968013,0.0
bipartite,2.0,0,848,2124,96,sage,0.5638888888888889,0.06767626123737534,0.0
bipartite,2.0,0,848,2124,96,mlp,0.5694444444444444,0.06711113011870434,0.0
bipartite,2.0,1,848,2124,96,gcn,0.6229166666666667,0.07590656382312809,0.0
bipartite,2.0,1,848,2124,96,sage,0.5930555555555554,0.07019590328809555,0.0
bipartite,2.0,1,848,2124,96,mlp,0.45972222222222214,0.053415667322903475,0.0
bipartite,2.0,2,848,2124,96,gcn,0.6402777777777777,0.07614501080184895,0.0
bipartite,2.0,2,848,2124,96,sage,0.5048611111111111,0.07666871900370592,0.0
bipartite,2.0,2,848,2124,96,mlp,0.5326388888888889,0.06611424014430382,0.0
bipartite,2.0,3,848,2124,96,gcn,0.8041666666666667,0.15189063997380428,0.0
bipartite,2.0,3,848,2124,96,sage,0.5006944444444444,0.05907236065369344,0.0
bipartite,2.0,3,848,2124,96,mlp,0.49722222222222223,0.054881170592331,0.0
bipartite,2.0,4,848,2124,96,gcn,0.8590277777777777,0.2620530210380796,0.0
bipartite,2.0,4,848,2124,96,sage,0.5722222222222222,0.11291523514547967,0.0
bipartite,2.0,4,848,2124,96,mlp,0.48749999999999993,0.16879097502304044,0.0
