,,,,,,precision,precision,random_expectation,random_expectation,lift,lift,n_candidates,n_candidates,n_relevant,n_relevant
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std
topology,camouflage,model,explainer,detected,k_mode,,,,,,,,,,
bipartite,0.5,sage,ig,1,k5,0.5424,0.1363,0.2519,0.0865,2.5802,1.5806,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,ig,1,oracle,0.4179,0.1035,0.2519,0.0865,1.9964,1.2225,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,random,0,k1,0.1857,0.3917,0.2342,0.0896,0.8321,2.0072,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,random,0,k10,0.2386,0.1467,0.2342,0.0896,1.0495,0.6073,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,random,0,k20,0.2379,0.1232,0.2342,0.0896,1.0079,0.3922,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,random,0,k3,0.219,0.2332,0.2342,0.0896,1.0202,1.2609,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,random,0,k5,0.2429,0.1766,0.2342,0.0896,1.0586,0.8088,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,random,0,oracle,0.2351,0.1297,0.2342,0.0896,1.0124,0.4577,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,random,1,k1,0.264,0.4426,0.2519,0.0865,1.0105,1.919,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,random,1,k10,0.2712,0.1549,0.2519,0.0865,1.0784,0.5693,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,random,1,k20,0.2632,0.1127,0.2519,0.0865,1.0515,0.3522,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,random,1,k3,0.2613,0.2858,0.2519,0.0865,1.0292,1.2805,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,random,1,k5,0.288,0.2263,0.2519,0.0865,1.1371,0.9342,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,random,1,oracle,0.2567,0.1264,0.2519,0.0865,1.0118,0.3844,75.056,36.6448,16.048,0.2494
